iter	Passed	Remaining
0	48	9657
1	50	4979
2	53	3484
3	54	2691
4	56	2217
5	58	1895
6	60	1671
7	62	1500
8	64	1366
9	66	1258
10	68	1169
11	69	1096
12	71	1034
13	73	980
14	75	932
15	77	892
16	79	853
17	81	822
18	83	791
19	84	764
20	86	740
21	88	716
22	90	695
23	92	676
24	94	658
25	95	642
26	97	626
27	99	611
28	101	597
29	103	584
30	105	572
31	106	561
32	108	549
33	110	539
34	112	529
35	114	519
36	115	510
37	117	502
38	119	494
39	121	486
40	123	478
41	125	471
42	127	463
43	129	458
44	130	451
45	132	444
46	134	438
47	136	432
48	138	426
49	140	420
50	141	414
51	143	409
52	145	404
53	147	398
54	149	393
55	151	388
56	153	384
57	155	379
58	157	377
59	159	372
60	161	368
61	163	363
62	165	359
63	166	354
64	168	350
65	170	346
66	172	341
67	174	337
68	175	333
69	177	329
70	179	326
71	181	322
72	183	318
73	184	314
74	186	310
75	189	308
76	191	305
77	193	302
78	195	298
79	196	295
80	198	292
81	200	288
82	202	285
83	204	282
84	206	279
85	208	275
86	210	272
87	211	269
88	213	266
89	215	263
90	217	260
91	219	257
92	221	254
93	222	251
94	224	248
95	226	245
96	228	242
97	230	239
98	231	236
99	233	233
100	235	231
101	237	228
102	239	225
103	241	223
104	243	220
105	245	217
106	247	214
107	249	212
108	251	209
109	252	206
110	254	204
111	256	201
112	258	199
113	260	196
114	262	194
115	264	191
116	266	189
117	268	186
118	270	183
119	271	181
120	274	178
121	275	176
122	277	173
123	279	171
124	281	168
125	283	166
126	285	164
127	287	161
128	289	159
129	290	156
130	292	154
131	294	151
132	296	149
133	298	147
134	300	144
135	302	142
136	304	139
137	306	137
138	307	135
139	309	132
140	312	130
141	314	128
142	316	126
143	318	123
144	320	121
145	322	119
146	324	116
147	326	114
148	328	112
149	330	110
150	332	107
151	334	105
152	336	103
153	338	100
154	339	98
155	341	96
156	343	94
157	345	91
158	347	89
159	349	87
160	351	85
161	353	82
162	355	80
163	357	78
164	359	76
165	361	74
166	363	71
167	365	69
168	367	67
169	369	65
170	371	62
171	375	61
172	377	58
173	379	56
174	380	54
175	382	52
176	385	50
177	386	47
178	388	45
179	390	43
180	392	41
181	394	39
182	396	36
183	398	34
184	400	32
185	402	30
186	404	28
187	406	25
188	408	23
189	410	21
190	412	19
191	414	17
192	416	15
193	418	12
194	420	10
195	422	8
196	424	6
197	426	4
198	428	2
199	430	0
