customer_id,customer_gender,customer_age,customer_city,customer_signup_days_ago,preferred_vehicle_type,total_bookings,completed_rides,cancelled_rides,incomplete_rides,cancellation_rate,avg_customer_rating,customer_cancel_flag
C_000001,Non-Binary,56,Bangalore,556,Cab,10,9,1,0,0.1,3.8,0
C_000002,Male,46,Bangalore,82,Bike,8,7,1,0,0.125,4.1,0
C_000003,Female,32,Delhi,969,Bike,7,4,1,2,0.14285714285714285,3.8,0
C_000004,Female,60,Hyderabad,549,Bike,11,7,3,1,0.2727272727272727,3.7,1
C_000005,Non-Binary,25,Hyderabad,359,Bike,9,5,3,1,0.3333333333333333,3.8,1
C_000006,Male,38,Hyderabad,587,Auto,14,11,2,1,0.14285714285714285,5.0,0
C_000007,Male,56,Bangalore,354,Bike,18,13,5,0,0.2777777777777778,3.9,1
C_000008,Male,36,Chennai,143,Bike,9,6,2,1,0.2222222222222222,5.0,1
C_000009,Female,40,Bangalore,176,Auto,11,10,1,0,0.09090909090909091,4.5,0
C_000010,Male,28,Chennai,195,Auto,6,3,2,1,0.3333333333333333,4.9,1
C_000011,Non-Binary,28,Mumbai,408,Cab,6,3,2,1,0.3333333333333333,3.5,1
C_000012,Non-Binary,41,Bangalore,168,Bike,9,6,1,2,0.1111111111111111,4.6,0
C_000013,Male,53,Bangalore,658,Cab,15,9,5,1,0.3333333333333333,3.7,1
C_000014,Male,57,Bangalore,328,Cab,17,13,4,0,0.23529411764705882,4.5,1
C_000015,Male,41,Hyderabad,305,Cab,14,12,2,0,0.14285714285714285,4.7,0
C_000016,Non-Binary,20,Hyderabad,945,Bike,10,6,3,1,0.3,4.1,1
C_000017,Male,39,Chennai,818,Auto,11,5,5,1,0.45454545454545453,4.1,1
C_000018,Female,19,Chennai,879,Cab,12,10,1,1,0.08333333333333333,3.9,0
C_000019,Non-Binary,41,Bangalore,854,Cab,10,7,3,0,0.3,3.7,1
C_000020,Non-Binary,61,Chennai,207,Auto,10,5,4,1,0.4,3.8,1
C_000021,Female,47,Hyderabad,871,Cab,11,8,2,1,0.18181818181818182,3.8,0
C_000022,Female,55,Chennai,383,Bike,15,9,5,1,0.3333333333333333,4.9,1
C_000023,Female,19,Mumbai,183,Cab,9,6,2,1,0.2222222222222222,4.1,1
C_000024,Female,38,Hyderabad,955,Auto,11,8,2,1,0.18181818181818182,3.7,0
C_000025,Non-Binary,50,Mumbai,230,Auto,7,6,1,0,0.14285714285714285,4.2,0
C_000026,Female,29,Chennai,907,Bike,11,9,2,0,0.18181818181818182,3.7,0
C_000027,Female,39,Delhi,144,Cab,9,5,2,2,0.2222222222222222,4.3,1
C_000028,Female,61,Bangalore,700,Bike,11,8,2,1,0.18181818181818182,4.5,0
C_000029,Non-Binary,42,Hyderabad,583,Auto,8,6,1,1,0.125,4.7,0
C_000030,Female,44,Mumbai,788,Cab,20,11,8,1,0.4,4.1,1
C_000031,Female,59,Delhi,97,Bike,14,11,2,1,0.14285714285714285,3.6,0
C_000032,Male,45,Delhi,474,Cab,14,9,3,2,0.21428571428571427,4.8,1
C_000033,Female,33,Hyderabad,474,Cab,12,7,5,0,0.4166666666666667,3.5,1
C_000034,Non-Binary,32,Hyderabad,355,Bike,8,5,2,1,0.25,4.5,1
C_000035,Female,64,Delhi,875,Auto,11,8,3,0,0.2727272727272727,4.2,1
C_000036,Female,61,Bangalore,737,Auto,10,7,3,0,0.3,4.9,1
C_000037,Non-Binary,20,Bangalore,631,Bike,10,5,4,1,0.4,4.7,1
C_000038,Male,54,Mumbai,652,Bike,3,2,0,1,0.0,4.8,0
C_000039,Female,24,Bangalore,909,Cab,12,10,1,1,0.08333333333333333,5.0,0
C_000040,Female,38,Delhi,388,Bike,13,7,4,2,0.3076923076923077,4.0,1
C_000041,Male,26,Delhi,174,Bike,11,7,3,1,0.2727272727272727,4.5,1
C_000042,Male,56,Chennai,304,Cab,6,4,1,1,0.16666666666666666,4.1,0
