driver_id,driver_age,driver_city,vehicle_type,driver_experience_years,total_assigned_rides,accepted_rides,incomplete_rides,delay_count,acceptance_rate,delay_rate,avg_driver_rating,avg_pickup_delay_min,driver_delay_flag
D_000001,39,Bangalore,Auto,1,25,16,0,0,0.64,0.0,4.1,2.0,0
D_000002,40,Chennai,Cab,2,14,11,3,2,0.79,0.14,4.8,6.1,1
D_000003,26,Bangalore,Auto,12,19,14,3,2,0.74,0.11,4.1,2.6,1
D_000004,46,Chennai,Auto,3,18,13,2,2,0.72,0.11,4.2,2.6,1
D_000005,32,Chennai,Bike,7,18,16,1,1,0.89,0.06,4.8,4.9,0
D_000006,31,Chennai,Bike,6,30,27,2,2,0.9,0.07,4.4,3.0,0
D_000007,38,Mumbai,Cab,14,24,19,2,1,0.79,0.04,4.0,4.6,0
D_000008,47,Mumbai,Cab,7,18,15,2,0,0.83,0.0,4.5,3.0,0
D_000009,52,Delhi,Auto,11,30,22,1,1,0.73,0.03,4.1,2.4,0
D_000010,53,Mumbai,Cab,5,24,18,2,2,0.75,0.08,4.4,4.2,0
D_000011,42,Chennai,Cab,14,21,18,1,1,0.86,0.05,4.8,4.8,0
D_000012,39,Hyderabad,Cab,4,14,9,2,1,0.64,0.07,4.7,5.0,0
D_000013,39,Mumbai,Auto,7,24,21,2,1,0.88,0.04,5.0,1.6,0
D_000014,22,Delhi,Cab,3,9,7,1,1,0.78,0.11,4.3,2.6,1
D_000015,35,Mumbai,Auto,13,32,22,0,0,0.69,0.0,4.4,3.0,0
D_000016,29,Bangalore,Auto,10,20,16,0,0,0.8,0.0,4.5,2.0,0
D_000017,23,Chennai,Auto,7,9,7,2,0,0.78,0.0,4.9,2.0,0
D_000018,36,Hyderabad,Cab,2,25,21,2,2,0.84,0.08,4.4,2.2,0
D_000019,22,Hyderabad,Cab,12,21,14,1,0,0.67,0.0,4.5,1.0,0
D_000020,42,Delhi,Cab,12,15,11,3,1,0.73,0.07,5.0,4.0,0
D_000021,22,Chennai,Bike,8,17,14,1,0,0.82,0.0,4.1,1.0,0
D_000022,53,Mumbai,Bike,12,26,20,5,3,0.77,0.12,4.5,5.8,1
D_000023,41,Delhi,Bike,6,18,12,3,0,0.67,0.0,4.5,4.0,0
D_000024,51,Chennai,Auto,12,22,19,1,0,0.86,0.0,4.4,4.0,0
D_000025,28,Mumbai,Cab,3,24,16,1,0,0.67,0.0,4.6,2.0,0
D_000026,43,Mumbai,Bike,3,15,9,1,0,0.6,0.0,4.4,3.0,0
D_000027,31,Chennai,Auto,5,23,18,1,1,0.78,0.04,4.6,4.6,0
D_000028,29,Bangalore,Cab,3,32,24,0,0,0.75,0.0,4.5,4.0,0
D_000029,48,Delhi,Bike,6,19,13,4,2,0.68,0.11,4.9,2.6,1
D_000030,31,Mumbai,Bike,2,14,12,0,0,0.86,0.0,4.5,2.0,0
D_000031,35,Bangalore,Cab,8,20,18,2,1,0.9,0.05,4.5,3.8,0
D_000032,32,Hyderabad,Bike,13,24,18,1,1,0.75,0.04,4.5,1.6,0
D_000033,27,Hyderabad,Bike,11,27,24,2,2,0.89,0.07,4.6,3.0,0
D_000034,42,Mumbai,Bike,12,21,16,1,1,0.76,0.05,4.6,2.8,0
D_000035,54,Mumbai,Cab,11,24,19,5,5,0.79,0.21,4.6,7.2,1
D_000036,40,Bangalore,Bike,9,23,15,2,2,0.65,0.09,4.5,4.4,0
D_000037,45,Chennai,Cab,13,16,12,0,0,0.75,0.0,4.8,1.0,0
D_000038,39,Delhi,Auto,7,24,17,2,1,0.71,0.04,5.0,1.6,0
D_000039,40,Hyderabad,Bike,14,16,15,1,0,0.94,0.0,4.4,4.0,0
D_000040,45,Bangalore,Auto,3,24,19,3,1,0.79,0.04,4.3,2.6,0
D_000041,43,Bangalore,Auto,11,18,14,0,0,0.78,0.0,4.6,3.0,0
D_000042,25,Chennai,Cab,14,20,12,2,0,0.6,0.0,4.9,3.0,0
D_000043,31,Hyderabad,Auto,10,17,12,1,0,0.71,0.0,4.2,2.0,0
D_000044,23,Hyderabad,Cab,4,13,9,1,1,0.69,0.08,4.2,5.2,0
D_000045,29,Bangalore,Auto,12,24,19,2,1,0.79,0.04,4.1,4.6,0
D_000046,54,Chennai,Bike,10,14,10,2,1,0.71,0.07,4.8,3.0,0
D_000047,49,Delhi,Cab,2,18,16,0,0,0.89,0.0,4.2,1.0,0
D_000048,31,Mumbai,Cab,9,13,11,0,0,0.85,0.0,4.4,3.0,0
D_000049,22,Mumbai,Bike,14,20,12,0,0,0.6,0.0,4.8,1.0,0
D_000050,24,Hyderabad,Bike,5,20,16,2,2,0.8,0.1,4.2,4.5,0
D_000051,30,Hyderabad,Cab,12,29,18,1,0,0.62,0.0,4.9,4.0,0
D_000052,26,Hyderabad,Bike,2,24,17,0,0,0.71,0.0,4.5,2.0,0
D_000053,31,Hyderabad,Bike,10,19,17,1,0,0.89,0.0,5.0,3.0,0
D_000054,33,Chennai,Auto,6,15,12,2,1,0.8,0.07,4.4,5.0,0
D_000055,39,Mumbai,Bike,7,23,17,2,0,0.74,0.0,4.1,4.0,0
D_000056,42,Hyderabad,Cab,13,20,16,2,0,0.8,0.0,4.8,4.0,0
D_000057,42,Hyderabad,Cab,2,11,10,0,0,0.91,0.0,5.0,1.0,0
D_000058,22,Hyderabad,Auto,1,11,8,1,0,0.73,0.0,4.2,3.0,0
D_000059,24,Chennai,Cab,13,21,16,3,1,0.76,0.05,4.5,4.8,0
D_000060,26,Mumbai,Cab,7,20,12,4,2,0.6,0.1,4.5,2.5,0
D_000061,46,Delhi,Auto,1,27,24,0,0,0.89,0.0,4.6,2.0,0
D_000062,29,Delhi,Cab,3,25,19,3,2,0.76,0.08,4.1,3.2,0
D_000063,38,Bangalore,Bike,4,22,16,2,1,0.73,0.05,4.7,3.8,0
D_000064,30,Hyderabad,Cab,2,21,17,2,1,0.81,0.05,4.1,4.8,0
D_000065,53,Chennai,Bike,7,16,14,2,1,0.88,0.06,4.9,4.9,0
D_000066,27,Hyderabad,Cab,5,22,17,1,1,0.77,0.05,4.8,2.8,0
D_000067,42,Delhi,Cab,1,23,16,2,2,0.7,0.09,4.7,4.4,0
D_000068,28,Hyderabad,Auto,12,19,15,2,0,0.79,0.0,4.9,4.0,0
D_000069,28,Hyderabad,Auto,12,26,20,4,2,0.77,0.08,4.8,3.2,0
D_000070,48,Mumbai,Bike,8,18,15,0,0,0.83,0.0,4.3,4.0,0
D_000071,29,Mumbai,Cab,10,15,13,2,1,0.87,0.07,4.9,2.0,0
D_000072,30,Mumbai,Cab,7,16,14,0,0,0.88,0.0,4.4,2.0,0
D_000073,49,Chennai,Bike,4,18,13,2,1,0.72,0.06,4.3,1.9,0
D_000074,36,Chennai,Auto,2,17,14,2,2,0.82,0.12,4.3,4.8,1
D_000075,23,Hyderabad,Auto,7,26,18,3,2,0.69,0.08,4.0,4.2,0
D_000076,28,Delhi,Cab,11,14,9,1,1,0.64,0.07,4.1,5.0,0
D_000077,39,Hyderabad,Cab,2,20,13,1,0,0.65,0.0,4.9,1.0,0
D_000078,43,Mumbai,Bike,6,20,14,2,2,0.7,0.1,5.0,4.5,0
D_000079,31,Mumbai,Auto,1,19,17,2,1,0.89,0.05,4.6,2.8,0
D_000080,54,Hyderabad,Bike,14,20,15,0,0,0.75,0.0,4.4,1.0,0
D_000081,28,Chennai,Auto,7,18,14,2,2,0.78,0.11,4.9,4.6,1
D_000082,24,Hyderabad,Auto,7,17,15,2,1,0.88,0.06,4.3,2.9,0
D_000083,35,Hyderabad,Bike,12,18,11,2,0,0.61,0.0,4.9,4.0,0
D_000084,34,Chennai,Cab,4,25,22,5,3,0.88,0.12,4.4,5.8,1
D_000085,37,Delhi,Bike,4,21,20,4,2,0.95,0.1,4.1,4.5,0
D_000086,37,Hyderabad,Cab,10,17,12,2,2,0.71,0.12,4.5,4.8,1
D_000087,26,Bangalore,Auto,5,15,15,2,0,1.0,0.0,4.1,3.0,0
D_000088,46,Hyderabad,Bike,2,27,26,2,2,0.96,0.07,4.6,3.0,0
D_000089,47,Hyderabad,Cab,9,29,22,0,0,0.76,0.0,4.1,2.0,0
D_000090,34,Hyderabad,Auto,10,16,12,2,1,0.75,0.06,4.8,1.9,0
D_000091,47,Bangalore,Auto,4,13,8,0,0,0.62,0.0,4.5,3.0,0
D_000092,22,Chennai,Bike,11,14,10,0,0,0.71,0.0,4.6,2.0,0
D_000093,29,Bangalore,Cab,9,24,19,3,2,0.79,0.08,4.6,5.2,0
D_000094,25,Delhi,Bike,14,18,12,0,0,0.67,0.0,4.0,1.0,0
D_000095,42,Bangalore,Cab,3,23,19,5,2,0.83,0.09,4.9,3.4,0
D_000096,43,Bangalore,Auto,9,18,14,1,1,0.78,0.06,4.3,1.9,0
D_000097,24,Mumbai,Cab,1,23,19,2,1,0.83,0.04,4.2,3.6,0
D_000098,40,Chennai,Bike,7,19,13,0,0,0.68,0.0,4.7,4.0,0
D_000099,22,Hyderabad,Bike,4,18,14,1,0,0.78,0.0,4.1,3.0,0
D_000100,50,Hyderabad,Cab,7,21,18,3,1,0.86,0.05,4.6,4.8,0
D_000101,44,Hyderabad,Cab,14,17,12,1,1,0.71,0.06,4.6,2.9,0
D_000102,54,Chennai,Auto,10,24,18,2,0,0.75,0.0,4.1,1.0,0
D_000103,44,Delhi,Auto,6,16,14,1,1,0.88,0.06,4.3,2.9,0
D_000104,26,Delhi,Bike,4,17,15,2,1,0.88,0.06,4.9,1.9,0
D_000105,28,Hyderabad,Cab,4,17,12,0,0,0.71,0.0,4.7,2.0,0
D_000106,27,Hyderabad,Auto,8,21,17,2,1,0.81,0.05,4.4,3.8,0
D_000107,43,Delhi,Cab,7,21,14,2,1,0.67,0.05,4.4,4.8,0
D_000108,34,Mumbai,Cab,4,18,13,0,0,0.72,0.0,4.8,3.0,0
D_000109,33,Bangalore,Auto,11,19,15,1,1,0.79,0.05,4.5,2.8,0
D_000110,25,Chennai,Cab,6,10,8,1,0,0.8,0.0,4.2,3.0,0
D_000111,29,Chennai,Cab,6,18,12,2,1,0.67,0.06,4.3,2.9,0
D_000112,52,Chennai,Cab,1,15,11,1,0,0.73,0.0,4.1,3.0,0
