city,pickup_location,hour_of_day,vehicle_type,total_requests,completed_rides,cancelled_rides,avg_wait_time_min,avg_surge_multiplier,demand_level
Bangalore,Loc_1,0,Auto,2,2,0,87.94,1.4,Low
Bangalore,Loc_1,0,Bike,5,5,0,68.088,1.46,Low
Bangalore,Loc_1,0,Cab,6,5,0,50.913333333333334,1.7333333333333334,Medium
Bangalore,Loc_1,1,Auto,3,2,0,72.88333333333334,1.5666666666666667,Low
Bangalore,Loc_1,1,Bike,7,6,1,33.37428571428571,1.2428571428571427,Medium
Bangalore,Loc_1,1,Cab,5,2,1,19.856,1.42,Low
Bangalore,Loc_1,2,Auto,4,2,1,86.2675,1.8,Low
Bangalore,Loc_1,2,Bike,9,8,0,61.895555555555546,1.2888888888888888,Medium
Bangalore,Loc_1,2,Cab,9,5,1,38.330000000000005,1.3444444444444443,Medium
Bangalore,Loc_1,3,Auto,7,5,2,68.14571428571428,1.4857142857142858,Medium
Bangalore,Loc_1,3,Bike,4,2,2,91.9425,1.675,Low
Bangalore,Loc_1,3,Cab,2,2,0,41.955,1.25,Low
Bangalore,Loc_1,4,Auto,7,6,1,76.75,1.7142857142857142,Medium
Bangalore,Loc_1,4,Bike,5,5,0,65.72200000000001,1.7600000000000002,Low
Bangalore,Loc_1,4,Cab,4,3,1,39.87,1.4,Low
Bangalore,Loc_1,5,Auto,3,2,1,84.88666666666667,1.6666666666666667,Low
Bangalore,Loc_1,5,Bike,6,4,2,46.291666666666664,1.5166666666666666,Medium
Bangalore,Loc_1,5,Cab,1,1,0,5.99,1.6,Low
Bangalore,Loc_1,6,Auto,7,6,1,76.87428571428572,1.6857142857142857,Medium
Bangalore,Loc_1,6,Bike,7,4,3,61.34428571428572,1.5571428571428572,Medium
Bangalore,Loc_1,6,Cab,3,3,0,82.32333333333334,1.4333333333333333,Low
Bangalore,Loc_1,7,Auto,2,1,1,51.79,1.65,Low
Bangalore,Loc_1,7,Bike,3,3,0,94.09666666666668,1.5,Low
Bangalore,Loc_1,7,Cab,8,6,0,62.99125,1.5,Medium
Bangalore,Loc_1,8,Auto,8,3,5,58.44625,1.825,Medium
Bangalore,Loc_1,8,Bike,5,4,1,78.85,1.64,Low
Bangalore,Loc_1,8,Cab,7,5,2,54.31857142857143,1.7,Medium
Bangalore,Loc_1,9,Auto,7,3,4,68.58428571428571,2.0714285714285716,Medium
Bangalore,Loc_1,9,Bike,8,5,3,55.18125,1.6875,Medium
Bangalore,Loc_1,9,Cab,3,2,1,46.72666666666667,1.5999999999999999,Low
Bangalore,Loc_1,10,Auto,7,7,0,59.01285714285715,1.6857142857142857,Medium
Bangalore,Loc_1,10,Bike,6,4,1,89.57666666666667,1.6166666666666665,Medium
Bangalore,Loc_1,10,Cab,7,5,1,48.458571428571425,1.7428571428571427,Medium
Bangalore,Loc_1,11,Auto,6,3,1,54.6,1.5,Medium
Bangalore,Loc_1,11,Bike,8,6,2,55.113749999999996,1.6625,Medium
Bangalore,Loc_1,11,Cab,3,1,2,34.12,1.1666666666666667,Low
Bangalore,Loc_1,12,Auto,4,3,1,41.0375,1.475,Low
Bangalore,Loc_1,12,Bike,7,5,1,71.39285714285714,1.5571428571428572,Medium
Bangalore,Loc_1,12,Cab,8,8,0,67.97749999999999,1.5,Medium
Bangalore,Loc_1,13,Auto,2,1,1,55.425,1.5,Low
Bangalore,Loc_1,13,Bike,3,2,1,27.436666666666667,1.5999999999999999,Low
Bangalore,Loc_1,13,Cab,7,6,1,52.58428571428572,1.5,Medium
Bangalore,Loc_1,14,Auto,6,1,3,34.84,1.7,Medium
Bangalore,Loc_1,14,Bike,7,4,1,98.62,1.5,Medium
Bangalore,Loc_1,14,Cab,6,2,3,65.80333333333333,1.7,Medium
Bangalore,Loc_1,15,Auto,5,4,1,68.14,1.48,Low
Bangalore,Loc_1,15,Bike,10,7,3,51.303,1.35,Medium
Bangalore,Loc_1,15,Cab,3,2,0,40.95333333333333,1.6666666666666667,Low
Bangalore,Loc_1,16,Auto,5,3,1,59.884,1.52,Low
Bangalore,Loc_1,16,Bike,6,5,1,55.403333333333336,1.7333333333333334,Medium
Bangalore,Loc_1,16,Cab,4,2,2,53.7525,1.45,Low
Bangalore,Loc_1,17,Auto,5,3,1,76.738,1.8199999999999998,Low
Bangalore,Loc_1,17,Bike,8,5,1,43.625,1.75,Medium
Bangalore,Loc_1,17,Cab,4,4,0,64.525,1.85,Low
Bangalore,Loc_1,18,Auto,7,4,2,54.27428571428571,1.6714285714285713,Medium
Bangalore,Loc_1,18,Bike,1,0,1,97.67,2.3,Low
Bangalore,Loc_1,18,Cab,6,2,4,100.14166666666667,1.7,Medium
Bangalore,Loc_1,19,Auto,4,2,2,58.5375,1.575,Low
Bangalore,Loc_1,19,Bike,3,2,1,69.10666666666667,1.9666666666666668,Low
Bangalore,Loc_1,19,Cab,5,4,1,29.406,1.6,Low
Bangalore,Loc_1,20,Auto,6,4,2,68.89999999999999,1.8,Medium
Bangalore,Loc_1,20,Bike,4,1,3,48.435,1.85,Low
Bangalore,Loc_1,20,Cab,4,1,1,43.5075,1.75,Low
Bangalore,Loc_1,21,Auto,9,7,1,73.87111111111112,1.4555555555555555,Medium
Bangalore,Loc_1,21,Bike,11,9,2,73.52181818181818,1.5363636363636362,Medium
Bangalore,Loc_1,21,Cab,4,4,0,51.589999999999996,1.275,Low
Bangalore,Loc_1,22,Auto,6,4,1,73.005,1.5333333333333332,Medium
Bangalore,Loc_1,22,Bike,5,3,0,76.572,1.44,Low
Bangalore,Loc_1,22,Cab,3,3,0,40.99333333333333,1.4000000000000001,Low
Bangalore,Loc_1,23,Auto,8,7,1,66.16,1.4125,Medium
Bangalore,Loc_1,23,Bike,4,2,1,97.17750000000001,1.625,Low
Bangalore,Loc_1,23,Cab,9,7,2,78.45333333333332,1.6111111111111112,Medium
Bangalore,Loc_10,0,Auto,5,2,3,93.728,1.6800000000000002,Low
Bangalore,Loc_10,0,Bike,7,5,1,52.35285714285715,1.3857142857142857,Medium
Bangalore,Loc_10,0,Cab,3,2,1,88.27333333333333,1.5,Low
Bangalore,Loc_10,1,Auto,4,3,1,45.67,1.5,Low
Bangalore,Loc_10,1,Bike,7,4,2,56.120000000000005,1.3285714285714287,Medium
Bangalore,Loc_10,1,Cab,8,5,3,53.725,1.4375,Medium
Bangalore,Loc_10,2,Auto,5,3,2,44.489999999999995,1.6,Low
Bangalore,Loc_10,2,Bike,7,2,2,59.49571428571429,1.457142857142857,Medium
Bangalore,Loc_10,2,Cab,7,7,0,93.82000000000001,1.3714285714285714,Medium
Bangalore,Loc_10,3,Auto,3,1,2,91.72666666666667,1.7666666666666666,Low
Bangalore,Loc_10,3,Bike,4,2,1,56.39,1.65,Low
Bangalore,Loc_10,3,Cab,3,2,1,81.60000000000001,1.5,Low
Bangalore,Loc_10,4,Auto,5,3,1,49.786,1.58,Low
Bangalore,Loc_10,4,Bike,3,0,2,104.42333333333335,1.5999999999999999,Low
Bangalore,Loc_10,4,Cab,7,5,2,55.29714285714285,1.5999999999999999,Medium
Bangalore,Loc_10,5,Auto,6,6,0,69.79333333333334,1.7166666666666668,Medium
Bangalore,Loc_10,5,Bike,6,4,2,41.38333333333333,1.3833333333333335,Medium
Bangalore,Loc_10,5,Cab,7,5,2,56.00857142857143,1.4285714285714286,Medium
Bangalore,Loc_10,6,Auto,6,4,0,48.35833333333334,1.4833333333333334,Medium
Bangalore,Loc_10,6,Bike,7,4,2,63.55571428571428,1.5,Medium
